Region1,Region2,Connection,Nor_vs_AD_t_statistic,Nor_vs_AD_p_value,Nor_vs_AD_cohens_d,Nor_vs_MCI_t_statistic,Nor_vs_MCI_p_value,Nor_vs_MCI_cohens_d,Nor_vs_DSC_t_statistic,Nor_vs_DSC_p_value,Nor_vs_DSC_cohens_d
16,41,16-41,-3.938276656211676,0.0010105971106226842,-0.5069403052330017,-3.0795713493299877,0.010440060549529609,-0.3904130756855011,-4.8594159977181475,0.00010037811649005554,-0.6313266754150391
17,37,17-37,2.773063085520688,0.024986603849812068,0.34827733039855957,4.432721588024316,0.00016781111663561373,0.5535429120063782,4.050480800151976,0.0013675253222319391,0.5140567421913147
17,47,17-47,-7.143199499520892,3.304827067131746e-09,-0.9193888306617737,-3.3243520583200366,0.005480503305344435,-0.4284588396549225,-3.335131841941216,0.00899804547321391,-0.4423235058784485
17,58,17-58,-4.795411860864701,5.2512834296642074e-05,-0.6050000190734863,-4.806689676502681,4.164658539333214e-05,-0.5987639427185059,-3.3388700014340746,0.008821439193055072,-0.4235668480396271
17,65,17-65,3.161078552396151,0.009661184136288877,0.4070577919483185,5.509614490348666,2.880245917222917e-06,0.6898196339607239,2.5757298241061775,0.048584249659738024,0.3305918276309967
18,26,18-26,7.224670824947383,2.245847289898246e-09,0.9271493554115295,6.216558393923814,1.6462822508350324e-07,0.7842066287994385,2.951144417106941,0.021761528506458547,0.3863527178764343
18,45,18-45,-2.8112955896207557,0.02294624866836269,-0.3541429042816162,-2.499930590067108,0.042619222757564725,-0.31610777974128723,-3.7830722752290726,0.0029321174812195275,-0.4975302219390869
18,54,18-54,-3.4709633868984877,0.004166490364808105,-0.43983176350593567,-6.7060198194380485,2.036470600215021e-08,-0.8384082913398743,-3.211992352260012,0.01201570905293589,-0.42037734389305115
19,24,19-24,3.3713790459696678,0.005409550832912987,0.43050074577331543,4.085383951695727,0.0005692833336914936,0.5185317397117615,3.619581727330752,0.004410646217285573,0.4645279347896576
19,32,19-32,-3.323458865550917,0.006246432897462476,-0.4134337604045868,-4.308521556768703,0.0002591848108275182,-0.5374176502227783,-5.647578017753983,5.161185648767399e-06,-0.704908549785614
19,38,19-38,6.105737019325068,2.664832763975389e-07,0.7802263498306274,4.368494553206959,0.00021066028251722123,0.5502808094024658,3.6644100872979646,0.0039859477350755864,0.46948128938674927
19,40,19-40,3.7921034540520124,0.001589139925397339,0.48427990078926086,2.476726518286368,0.04524347894664911,0.308797150850296,3.0828738036996928,0.01635267330034719,0.39241859316825867
19,55,19-55,-3.1170174657796723,0.01065858040654175,-0.39792677760124207,-2.609316391752787,0.03385570161323105,-0.32985439896583557,-3.9866447614717497,0.0016511197123035887,-0.5036455988883972
19,67,19-67,-3.5738256652634295,0.003178194499625655,-0.47341299057006836,-5.566306708334281,2.287207120879269e-06,-0.7055061459541321,-3.0012361025241243,0.019927751369280263,-0.39410653710365295
20,24,20-24,3.785648654805872,0.0016275684873320714,0.4735683500766754,6.07220775886108,2.5820957213938675e-07,0.777276337146759,4.953073045684349,7.54131093362401e-05,0.6357240676879883
20,32,20-32,-3.2955634645411083,0.006724069500194934,-0.4158519506454468,-2.857687556802311,0.018873509997628605,-0.3682527244091034,-5.383718972226339,1.4851227462678532e-05,-0.699377179145813
20,35,20-35,-3.472651601488642,0.004160560009765284,-0.4409170150756836,-3.7106659919234226,0.0019081692176880164,-0.47397932410240173,-6.775455665473246,3.6096701000958606e-08,-0.8607945442199707
