subject_id,original_mean_correlation,processed_mean_correlation,improvement
110,0.36605392853583163,0.9863837991707832,0.6203298706349516
111,0.3247755212017844,0.9881877218454778,0.6634122006436933
112,0.2954167901169605,0.9769373306330571,0.6815205405160967
113,0.26058055602727315,0.9788873446934252,0.718306788666152
114,0.3135989323152727,0.9794512194418316,0.6658522871265589
115,0.3240493181210683,0.9860287809355752,0.6619794628145069
116,0.3169678055911908,0.9768273453772004,0.6598595397860096
117,0.2619279774284286,0.9831576045985394,0.7212296271701109
118,0.3368372767662238,0.9878523318591353,0.6510150550929115
120,0.38789733745620714,0.9911630166023354,0.6032656791461283
121,0.33419215533891844,0.9809915397335492,0.6467993843946308
122,0.28372872450236325,0.9689962713395195,0.6852675468371563
124,0.33327862312579964,0.9736357545403125,0.6403571314145129
